Atomic_mass,Atomic_no,Atomic_orbitals,Atomic_radius,Atomic_radius_calculated,Boiling_point,Brinell_hardness,Bulk_modulus,Coefficient_of_linear_thermal_expansion,Common_oxidation_states,Critical_temperature,Density_of_solid,Electrical_resistivity,Electronic_structure,ICSD_oxidation_states,Liquid_range,Melting_point,Mendeleev_no,Mineral_hardness,Molar_volume,Name,Oxidation_states,Poissons_ratio,Reflectivity,Refractive_index,Rigidity_modulus,Shannon_radii,Superconduction_temperature,Thermal_conductivity,Van_der_waals_radius,Velocity_of_sound,Vickers_hardness,X,Youngs_modulus,NMR_Quadrupole_Moment,Metallic_radius,iupac_ordering,IUPAC_ordering,symbol,Z,average_anionic_radius,average_cationic_radius,average_ionic_radius,block,full_electronic_structure,group,icsd_oxidation_states,ionic_radii,is_actinoid,is_alkali,is_alkaline,is_chalcogen,is_halogen,is_lanthanoid,is_metal,is_metalloid,is_noble_gas,is_post_transition_metal,is_quadrupolar,is_rare_earth_metal,is_transition_metal,long_name,max_oxidation_state,min_oxidation_state,number,row,valence,Max_oxidation_state,Min_oxidation_state,Ionic_radii,Ionic_radii_hs,Ionic_radii_ls,Ionic_radii_-1,Ionic_radii_7,Ionic_radii_5,Ionic_radii_8,Ionic_radii_4,Ionic_radii_1,Ionic_radii_2,Ionic_radii_-2,Ionic_radii_-3,Ionic_radii_6,Ionic_radii_3
22.98976928,11.0,"{'1s': -37.719975, '2p': -1.060636, '2s': -2.063401, '3s': -0.103415}",1.8,1.9,1156 K,0.69 MN m<sup>-2</sup>,6.3 GPa,71 x10<sup>-6</sup>K<sup>-1</sup>,[1],2573 K,968 kg m<sup>-3</sup>,4.9 10<sup>-8</sup> &Omega; m,[Ne].3s<sup>1</sup>,[1],785.13 K,370.87 K,11.0,0.5,23.78 cm<sup>3</sup>,Sodium,"[-1, 1]",no data,no data %,no data,3.3 GPa,"{'1': {'IV': {'': {'crystal_radius': 1.13, 'ionic_radius': 0.99}}, 'V': {'': {'crystal_radius': 1.14, 'ionic_radius': 1.0}}, 'VI': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.02}}, 'VII': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.12}}, 'VIII': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.18}}, 'IX': {'': {'crystal_radius': 1.38, 'ionic_radius': 1.24}}, 'XII': {'': {'crystal_radius': 1.53, 'ionic_radius': 1.39}}}}",no data K,140 W m<sup>-1</sup> K<sup>-1</sup>,2.27,3200 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,0.93,10 GPa,{'Na-23': 104.1},1.86,10.0,10.0,Na,11.0,0.0,1.16,1.16,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 1)]",1.0,"(1,)",{1: 1.16},False,True,False,False,False,False,True,False,False,False,True,False,False,Sodium,1.0,-1.0,11.0,3.0,"(0, 1)",,,{'1': 1.16},,,,,,,,1.16,,,,,
24.305,12.0,"{'1s': -45.973167, '2p': -1.71897, '2s': -2.903746, '3s': -0.175427}",1.5,1.45,1363 K,260 MN m<sup>-2</sup>,45 GPa,8.2 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,1738 kg m<sup>-3</sup>,4.4 10<sup>-8</sup> &Omega; m,[Ne].3s<sup>2</sup>,[2],440 K,923 K,73.0,2.5,14.00 cm<sup>3</sup>,Magnesium,"[1, 2]",0.29,74 %,no data,17 GPa,"{'2': {'IV': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.57}}, 'V': {'': {'crystal_radius': 0.8, 'ionic_radius': 0.66}}, 'VI': {'': {'crystal_radius': 0.86, 'ionic_radius': 0.72}}, 'VIII': {'': {'crystal_radius': 1.03, 'ionic_radius': 0.89}}}}",no data K,160 W m<sup>-1</sup> K<sup>-1</sup>,1.73,4602 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.31,45 GPa,{'Mg-25': 199.4},1.6,16.0,16.0,Mg,12.0,0.0,0.86,0.86,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2)]",2.0,"(2,)",{2: 0.86},False,False,True,False,False,False,True,False,False,False,True,False,False,Magnesium,2.0,1.0,12.0,3.0,,,,{'2': 0.86},,,,,,,,,0.86,,,,
26.9815386,13.0,"{'1s': -55.156044, '2p': -2.564018, '2s': -3.934827, '3p': -0.102545, '3s': -0.286883}",1.25,1.18,2792 K,245 MN m<sup>-2</sup>,76 GPa,23.1 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,2700 kg m<sup>-3</sup>,2.7 10<sup>-8</sup> &Omega; m,[Ne].3s<sup>2</sup>.3p<sup>1</sup>,[3],1858.53 K,933.47 K,80.0,2.75,10.00 cm<sup>3</sup>,Aluminum,"[1, 3]",0.35,71 %,no data,26 GPa,"{'3': {'IV': {'': {'crystal_radius': 0.53, 'ionic_radius': 0.39}}, 'V': {'': {'crystal_radius': 0.62, 'ionic_radius': 0.48}}, 'VI': {'': {'crystal_radius': 0.675, 'ionic_radius': 0.535}}}}",1.175 K,235 W m<sup>-1</sup> K<sup>-1</sup>,1.84,5100 m s<sup>-1</sup>,167 MN m<sup>-2</sup>,1.61,70 GPa,{'Al-27': 146.6},1.43,80.0,80.0,Al,13.0,0.0,0.675,0.675,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 1)]",13.0,"(3,)",{3: 0.675},False,False,False,False,False,False,True,False,False,True,True,False,False,Aluminum,3.0,1.0,13.0,3.0,"(1, 1)",,,{'3': 0.675},,,,,,,,,,,,,0.675
28.0855,14.0,"{'1s': -65.184426, '2p': -3.514938, '2s': -5.075056, '3p': -0.153293, '3s': -0.398139}",1.1,1.11,3173 K,no data MN m<sup>-2</sup>,100 GPa,2.6 x10<sup>-6</sup>K<sup>-1</sup>,"[-4, 4]",no data K,2330 kg m<sup>-3</sup>,about 100000 10<sup>-8</sup> &Omega; m,[Ne].3s<sup>2</sup>.3p<sup>2</sup>,"[-4, 4]",1486 K,1687 K,85.0,6.5,12.06 cm<sup>3</sup>,Silicon,"[-4, -3, -2, -1, 1, 2, 3, 4]",no data,28 %,no data,no data GPa,"{'4': {'IV': {'': {'crystal_radius': 0.4, 'ionic_radius': 0.26}}, 'VI': {'': {'crystal_radius': 0.54, 'ionic_radius': 0.4}}}}",no data K,150 W m<sup>-1</sup> K<sup>-1</sup>,2.1,2200 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.9,47 GPa,,no data,85.0,85.0,Si,14.0,0.0,0.54,0.54,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 2)]",14.0,"(-4, 4)",{4: 0.54},False,False,False,False,False,False,False,True,False,False,False,False,False,Silicon,4.0,-4.0,14.0,3.0,"(1, 2)",,,{'4': 0.54},,,,,,,0.54,,,,,,
30.973762,15.0,"{'1s': -76.061897, '2p': -4.576617, '2s': -6.329346, '3p': -0.20608, '3s': -0.512364}",1.0,0.98,550 K,no data MN m<sup>-2</sup>,11 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-3, 3, 5]",994 K,1823 kg m<sup>-3</sup>,about 10 10<sup>-8</sup> &Omega; m,[Ne].3s<sup>2</sup>.3p<sup>3</sup>,"[3, 4, 5, -2, -3, -1]",232.7 K,(white P) 317.3 K,90.0,no data,17.02 cm<sup>3</sup>,Phosphorus,"[-3, -2, -1, 1, 2, 3, 4, 5]",no data,no data %,1.001212,no data GPa,"{'3': {'VI': {'': {'crystal_radius': 0.58, 'ionic_radius': 0.44}}}, '5': {'IV': {'': {'crystal_radius': 0.31, 'ionic_radius': 0.17}}, 'V': {'': {'crystal_radius': 0.43, 'ionic_radius': 0.29}}, 'VI': {'': {'crystal_radius': 0.52, 'ionic_radius': 0.38}}}}",no data K,0.236 W m<sup>-1</sup> K<sup>-1</sup>,1.8,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.19,no data GPa,,no data,90.0,90.0,P,15.0,0.0,0.55,0.55,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 3)]",15.0,"(3, 4, 5, -2, -3, -1)","{3: 0.58, 5: 0.52}",False,False,False,False,False,False,False,False,False,False,False,False,False,Phosphorus,5.0,-3.0,15.0,3.0,"(1, 3)",,,"{'3': 0.58, '5': 0.52}",,,,,0.52,,,,,,,,0.58
32.065,16.0,"{'1s': -87.789937, '2p': -5.751257, '2s': -7.69994, '3p': -0.261676, '3s': -0.630912}",1.0,0.88,717.87 K,no data MN m<sup>-2</sup>,7.7 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-2, 2, 4, 6]",1314 K,1960 kg m<sup>-3</sup>,&gt; 10<sup>23</sup>10<sup>-8</sup> &Omega; m,[Ne].3s<sup>2</sup>.3p<sup>4</sup>,"[-1, 2, 4, -2, 6]",329.51 K,388.36 K,94.0,2.0,15.53 cm<sup>3</sup>,Sulfur,"[-2, -1, 1, 2, 3, 4, 5, 6]",no data,no data %,1.001111,no data GPa,"{'-2': {'VI': {'': {'crystal_radius': 1.7, 'ionic_radius': 1.84}}}, '4': {'VI': {'': {'crystal_radius': 0.51, 'ionic_radius': 0.37}}}, '6': {'IV': {'': {'crystal_radius': 0.26, 'ionic_radius': 0.12}}, 'VI': {'': {'crystal_radius': 0.43, 'ionic_radius': 0.29}}}}",no data K,0.205 W m<sup>-1</sup> K<sup>-1</sup>,1.8,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.58,no data GPa,"{'S-33': -67.8, 'S-35': 47.1}",no data,96.0,96.0,S,16.0,1.7,0.47,0.88,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 4)]",16.0,"(-1, 2, 4, -2, 6)","{-2: 1.7, 4: 0.51, 6: 0.43}",False,False,False,True,False,False,False,False,False,False,True,False,False,Sulfur,6.0,-2.0,16.0,3.0,"(1, 4)",,,"{'-2': 1.7, '4': 0.51, '6': 0.43}",,,,,,,0.51,,,1.7,,0.43,
35.453,17.0,"{'1s': -100.369229, '2p': -7.039982, '2s': -9.187993, '3p': -0.32038, '3s': -0.754458}",1.0,0.79,239.11 K,no data MN m<sup>-2</sup>,1.1 (liquid)GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-1, 1, 3, 5, 7]",417 K,no data kg m<sup>-3</sup>,&gt; 10<sup>10</sup>10<sup>-8</sup> &Omega; m,[Ne].3s<sup>2</sup>.3p<sup>5</sup>,[-1],67.51 K,171.6 K,99.0,no data,17.39 cm<sup>3</sup>,Chlorine,"[-1, 1, 2, 3, 4, 5, 6, 7]",no data,no data %,1.000773,no data GPa,"{'-1': {'VI': {'': {'crystal_radius': 1.67, 'ionic_radius': 1.81}}}, '5': {'IIIPY': {'': {'crystal_radius': 0.26, 'ionic_radius': 0.12}}}, '7': {'IV': {'': {'crystal_radius': 0.22, 'ionic_radius': 0.08}}, 'VI': {'': {'crystal_radius': 0.41, 'ionic_radius': 0.27}}}}",no data K,0.0089 W m<sup>-1</sup> K<sup>-1</sup>,1.75,206 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,3.16,no data GPa,"{'Cl-35': -81.65, 'Cl-37': -64.35}",no data,101.0,101.0,Cl,17.0,1.67,0.33499999999999996,0.7799999999999999,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 5)]",17.0,"(-1,)","{-1: 1.67, 5: 0.26, 7: 0.41}",False,False,False,False,True,False,False,False,False,False,True,False,False,Chlorine,7.0,-1.0,17.0,3.0,"(1, 5)",,,"{'-1': 1.67, '5': 0.26, '7': 0.41}",,,1.67,0.41,0.26,,,,,,,,
39.948,18.0,"{'1s': -113.800134, '2p': -8.443439, '2s': -10.794172, '3p': -0.38233, '3s': -0.883384}",0.71,0.71,87.3 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,,150.8 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,[Ne].3s<sup>2</sup>.3p<sup>6</sup>,,3.5 K,83.8 K,3.0,no data,22.56 cm<sup>3</sup>,Argon,,no data,no data %,1.000281,no data GPa,,no data K,0.01772 W m<sup>-1</sup> K<sup>-1</sup>,1.88,319 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,,no data GPa,,no data,3.0,3.0,Ar,18.0,0.0,0.0,0.0,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6)]",18.0,(),{},False,False,False,False,False,False,False,False,True,False,False,False,False,Argon,0.0,0.0,18.0,3.0,"(nan, 0)",0.0,0.0,,,,,,,,,,,,,,
39.0983,19.0,"{'1s': -128.414957, '2p': -10.283851, '2s': -12.839001, '3p': -0.693776, '3s': -1.281897, '4s': -0.088815}",2.2,2.43,1032 K,0.363 MN m<sup>-2</sup>,3.1 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,[1],2223 K,856 kg m<sup>-3</sup>,7.5 10<sup>-8</sup> &Omega; m,[Ar].4s<sup>1</sup>,[1],695.47 K,336.53 K,10.0,0.4,45.94 cm<sup>3</sup>,Potassium,"[-1, 1]",no data,no data %,no data,1.3 GPa,"{'1': {'IV': {'': {'crystal_radius': 1.51, 'ionic_radius': 1.37}}, 'VI': {'': {'crystal_radius': 1.52, 'ionic_radius': 1.38}}, 'VII': {'': {'crystal_radius': 1.6, 'ionic_radius': 1.46}}, 'VIII': {'': {'crystal_radius': 1.65, 'ionic_radius': 1.51}}, 'IX': {'': {'crystal_radius': 1.69, 'ionic_radius': 1.55}}, 'X': {'': {'crystal_radius': 1.73, 'ionic_radius': 1.59}}, 'XII': {'': {'crystal_radius': 1.78, 'ionic_radius': 1.64}}}}",no data K,100 W m<sup>-1</sup> K<sup>-1</sup>,2.75,2000 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,0.82,no data GPa,"{'K-39': 58.5, 'K-40': -73.0, 'K-41': 71.1}",2.381,9.0,9.0,K,19.0,0.0,1.52,1.52,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (4, 's', 1)]",1.0,"(1,)",{1: 1.52},False,True,False,False,False,False,True,False,False,False,True,False,False,Potassium,1.0,-1.0,19.0,4.0,"(0, 1)",,,{'1': 1.52},,,,,,,,1.52,,,,,
40.078,20.0,"{'1s': -143.935181, '2p': -12.285376, '2s': -15.046905, '3p': -1.030572, '3s': -1.706331, '4s': -0.141411}",1.8,1.94,1757 K,167 MN m<sup>-2</sup>,17 GPa,22.3 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,1550 kg m<sup>-3</sup>,3.4 10<sup>-8</sup> &Omega; m,[Ar].4s<sup>2</sup>,[2],642 K,1115 K,16.0,1.75,26.20 cm<sup>3</sup>,Calcium,[2],0.31,no data %,no data,7.4 GPa,"{'2': {'VI': {'': {'crystal_radius': 1.14, 'ionic_radius': 1.0}}, 'VII': {'': {'crystal_radius': 1.2, 'ionic_radius': 1.06}}, 'VIII': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.12}}, 'IX': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.18}}, 'X': {'': {'crystal_radius': 1.37, 'ionic_radius': 1.23}}, 'XII': {'': {'crystal_radius': 1.48, 'ionic_radius': 1.34}}}}",no data K,200 W m<sup>-1</sup> K<sup>-1</sup>,2.31,3810 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.0,20 GPa,"{'Ca-41': -66.5, 'Ca-43': -40.8}",1.976,15.0,15.0,Ca,20.0,0.0,1.14,1.14,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (4, 's', 2)]",2.0,"(2,)",{2: 1.14},False,False,True,False,False,False,True,False,False,False,True,False,False,Calcium,2.0,2.0,20.0,4.0,,,,{'2': 1.14},,,,,,,,,1.14,,,,
44.955912,21.0,"{'1s': -160.184109, '2p': -14.240006, '2s': -17.206464, '3d': -0.13108, '3p': -1.233165, '3s': -1.988378, '4s': -0.156478}",1.6,1.84,3103 K,750 MN m<sup>-2</sup>,57 GPa,10.2 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,2985 kg m<sup>-3</sup>,about 55 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>1</sup>.4s<sup>2</sup>,"[2, 3]",1289 K,1814 K,19.0,no data,15.00 cm<sup>3</sup>,Scandium,"[1, 2, 3]",0.28,no data %,no data,29 GPa,"{'3': {'VI': {'': {'crystal_radius': 0.885, 'ionic_radius': 0.745}}, 'VIII': {'': {'crystal_radius': 1.01, 'ionic_radius': 0.87}}}}",0.05  (under pressure)K,16 W m<sup>-1</sup> K<sup>-1</sup>,2.11,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.36,74 GPa,{'Sc-45': -220.2},1.641,49.0,49.0,Sc,21.0,0.0,0.885,0.885,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 1), (4, 's', 2)]",3.0,"(2, 3)",{3: 0.885},False,False,False,False,False,False,True,False,False,False,True,False,True,Scandium,3.0,1.0,21.0,4.0,"(2, 1)",,,{'3': 0.885},,,,,,,,,,,,,0.885
47.867,22.0,"{'1s': -177.276643, '2p': -16.285339, '2s': -19.457901, '3d': -0.17001, '3p': -1.422947, '3s': -2.258007, '4s': -0.167106}",1.4,1.76,3560 K,716 MN m<sup>-2</sup>,110 GPa,8.6 x10<sup>-6</sup>K<sup>-1</sup>,[4],no data K,4507 kg m<sup>-3</sup>,about 40 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>2</sup>.4s<sup>2</sup>,"[2, 3, 4]",1619 K,1941 K,51.0,6.0,10.64 cm<sup>3</sup>,Titanium,"[-1, 2, 3, 4]",0.32,no data %,no data,44 GPa,"{'2': {'VI': {'': {'crystal_radius': 1.0, 'ionic_radius': 0.86}}}, '3': {'VI': {'': {'crystal_radius': 0.81, 'ionic_radius': 0.67}}}, '4': {'IV': {'': {'crystal_radius': 0.56, 'ionic_radius': 0.42}}, 'V': {'': {'crystal_radius': 0.65, 'ionic_radius': 0.51}}, 'VI': {'': {'crystal_radius': 0.745, 'ionic_radius': 0.605}}, 'VIII': {'': {'crystal_radius': 0.88, 'ionic_radius': 0.74}}}}",0.40 K,22 W m<sup>-1</sup> K<sup>-1</sup>,no data,4140 m s<sup>-1</sup>,970 MN m<sup>-2</sup>,1.54,116 GPa,"{'Ti-47': 302.1, 'Ti-49': 247.11}",1.462,52.0,52.0,Ti,22.0,0.0,0.8516666666666667,0.8516666666666667,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 2), (4, 's', 2)]",4.0,"(2, 3, 4)","{2: 1.0, 3: 0.81, 4: 0.745}",False,False,False,False,False,False,True,False,False,False,True,False,True,Titanium,4.0,-1.0,22.0,4.0,"(2, 2)",,,"{'2': 1.0, '3': 0.81, '4': 0.745}",,,,,,,0.745,,1.0,,,,0.81
50.9415,23.0,"{'1s': -195.224014, '2p': -18.435189, '2s': -21.815346, '3d': -0.204634, '3p': -1.610516, '3s': -2.526904, '4s': -0.175968}",1.35,1.71,3680 K,628 MN m<sup>-2</sup>,160 GPa,8.4 x10<sup>-6</sup>K<sup>-1</sup>,[5],no data K,6110 kg m<sup>-3</sup>,20 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>3</sup>.4s<sup>2</sup>,"[2, 3, 4, 5]",1497 K,2183 K,54.0,7.0,8.32 cm<sup>3</sup>,Vanadium,"[-1, 1, 2, 3, 4, 5]",0.37,61 %,no data,47 GPa,"{'2': {'VI': {'': {'crystal_radius': 0.93, 'ionic_radius': 0.79}}}, '3': {'VI': {'': {'crystal_radius': 0.78, 'ionic_radius': 0.64}}}, '4': {'V': {'': {'crystal_radius': 0.67, 'ionic_radius': 0.53}}, 'VI': {'': {'crystal_radius': 0.72, 'ionic_radius': 0.58}}, 'VIII': {'': {'crystal_radius': 0.86, 'ionic_radius': 0.72}}}, '5': {'IV': {'': {'crystal_radius': 0.495, 'ionic_radius': 0.355}}, 'V': {'': {'crystal_radius': 0.6, 'ionic_radius': 0.46}}, 'VI': {'': {'crystal_radius': 0.68, 'ionic_radius': 0.54}}}}",5.40 K,31 W m<sup>-1</sup> K<sup>-1</sup>,no data,4560 m s<sup>-1</sup>,628 MN m<sup>-2</sup>,1.63,128 GPa,"{'V-50': 210.4, 'V-51': -52.1}",1.347,55.0,55.0,V,23.0,0.0,0.7775,0.7775,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 3), (4, 's', 2)]",5.0,"(2, 3, 4, 5)","{2: 0.93, 3: 0.78, 4: 0.72, 5: 0.68}",False,False,False,False,False,False,True,False,False,False,True,False,True,Vanadium,5.0,-1.0,23.0,4.0,"(2, 3)",,,"{'2': 0.93, '3': 0.78, '4': 0.72, '5': 0.68}",,,,,0.68,,0.72,,0.93,,,,0.78
51.9961,24.0,"{'1s': -213.881191, '2p': -20.526273, '2s': -24.113457, '3d': -0.118123, '3p': -1.65423, '3s': -2.649085, '4s': -0.150445}",1.4,1.66,2944 K,1120 MN m<sup>-2</sup>,160 GPa,4.9 x10<sup>-6</sup>K<sup>-1</sup>,"[3, 6]",no data K,7140 kg m<sup>-3</sup>,12.7 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>5</sup>.4s<sup>1</sup>,"[2, 3, 4, 5, 6]",764 K,2180 K,57.0,8.5,7.23 cm<sup>3</sup>,Chromium,"[-2, -1, 1, 2, 3, 4, 5, 6]",0.21,no data %,no data,115 GPa,"{'2': {'VI': {'Low Spin': {'crystal_radius': 0.87, 'ionic_radius': 0.73}, 'High Spin': {'crystal_radius': 0.94, 'ionic_radius': 0.8}}}, '3': {'VI': {'': {'crystal_radius': 0.755, 'ionic_radius': 0.615}}}, '4': {'IV': {'': {'crystal_radius': 0.55, 'ionic_radius': 0.41}}, 'VI': {'': {'crystal_radius': 0.69, 'ionic_radius': 0.55}}}, '5': {'IV': {'': {'crystal_radius': 0.485, 'ionic_radius': 0.345}}, 'VI': {'': {'crystal_radius': 0.63, 'ionic_radius': 0.49}}, 'VIII': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.57}}}, '6': {'IV': {'': {'crystal_radius': 0.4, 'ionic_radius': 0.26}}, 'VI': {'': {'crystal_radius': 0.58, 'ionic_radius': 0.44}}}}",no data K,94 W m<sup>-1</sup> K<sup>-1</sup>,no data,5940 m s<sup>-1</sup>,1060 MN m<sup>-2</sup>,1.66,279 GPa,{'Cr-53': -150.5},1.285,58.0,58.0,Cr,24.0,0.0,0.94,0.94,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 5), (4, 's', 1)]",6.0,"(2, 3, 4, 5, 6)",{2: 0.94},False,False,False,False,False,False,True,False,False,False,True,False,True,Chromium,6.0,-2.0,24.0,4.0,,,,{'2': 0.94},{'2': 0.94},"{'2': 0.87, '3': 0.755, '4': 0.69, '5': 0.63, '6': 0.58}",,,,,,,0.94,,,,
54.938045,25.0,"{'1s': -233.696912, '2p': -23.066297, '2s': -26.866646, '3d': -0.26654, '3p': -1.99145, '3s': -3.076637, '4s': -0.191136}",1.4,1.61,2334 K,196 MN m<sup>-2</sup>,120 GPa,21.7 x10<sup>-6</sup>K<sup>-1</sup>,"[2, 4, 7]",no data K,7470 kg m<sup>-3</sup>,144 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>5</sup>.4s<sup>2</sup>,"[2, 3, 4, 7]",815 K,1519 K,60.0,6.0,7.35 cm<sup>3</sup>,Manganese,"[-3, -2, -1, 1, 2, 3, 4, 5, 6, 7]",no data,no data %,no data,no data GPa,"{'2': {'IV': {'High Spin': {'crystal_radius': 0.8, 'ionic_radius': 0.66}}, 'V': {'High Spin': {'crystal_radius': 0.89, 'ionic_radius': 0.75}}, 'VI': {'Low Spin': {'crystal_radius': 0.81, 'ionic_radius': 0.67}, 'High Spin': {'crystal_radius': 0.97, 'ionic_radius': 0.83}}, 'VII': {'High Spin': {'crystal_radius': 1.04, 'ionic_radius': 0.9}}, 'VIII': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}}, '3': {'V': {'': {'crystal_radius': 0.72, 'ionic_radius': 0.58}}, 'VI': {'Low Spin': {'crystal_radius': 0.72, 'ionic_radius': 0.58}, 'High Spin': {'crystal_radius': 0.785, 'ionic_radius': 0.645}}}, '4': {'IV': {'': {'crystal_radius': 0.53, 'ionic_radius': 0.39}}, 'VI': {'': {'crystal_radius': 0.67, 'ionic_radius': 0.53}}}, '5': {'IV': {'': {'crystal_radius': 0.47, 'ionic_radius': 0.33}}}, '6': {'IV': {'': {'crystal_radius': 0.395, 'ionic_radius': 0.255}}}, '7': {'IV': {'': {'crystal_radius': 0.39, 'ionic_radius': 0.25}}, 'VI': {'': {'crystal_radius': 0.6, 'ionic_radius': 0.46}}}}",no data K,7.8 W m<sup>-1</sup> K<sup>-1</sup>,no data,5150 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.55,198 GPa,{'Mn-55': 330.1},1.292,61.0,61.0,Mn,25.0,0.0,0.6483333333333333,0.6483333333333333,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 5), (4, 's', 2)]",7.0,"(2, 3, 4, 7)","{2: 0.97, 3: 0.785, 4: 0.67, 5: 0.47, 6: 0.395, 7: 0.6}",False,False,False,False,False,False,True,False,False,False,True,False,True,Manganese,7.0,-3.0,25.0,4.0,"(2, 5)",,,"{'2': 0.97, '3': 0.785, '4': 0.67, '5': 0.47, '6': 0.395, '7': 0.6}","{'2': 0.97, '3': 0.785}","{'2': 0.81, '3': 0.72, '4': 0.67, '5': 0.47, '6': 0.395, '7': 0.6}",,0.6,0.47,,0.67,,0.97,,,0.395,0.785
